column,missing_count,total_rows,missing_pct
year,0,398233,0.0
month,0,398233,0.0
carrier,0,398233,0.0
carrier_name,0,398233,0.0
airport,0,398233,0.0
airport_name,0,398233,0.0
arr_flights,657,398233,0.00165
arr_del15,950,398233,0.002386
carrier_ct,657,398233,0.00165
weather_ct,657,398233,0.00165
nas_ct,657,398233,0.00165
security_ct,657,398233,0.00165
late_aircraft_ct,657,398233,0.00165
arr_cancelled,657,398233,0.00165
arr_diverted,657,398233,0.00165
arr_delay,657,398233,0.00165
carrier_delay,657,398233,0.00165
weather_delay,657,398233,0.00165
nas_delay,657,398233,0.00165
security_delay,657,398233,0.00165
late_aircraft_delay,657,398233,0.00165
