column,dtype,non_null,nulls,unique,min,max,mean
year,int64,398233,0,23,2003.0,2025.0,2014.4213437861754
month,int64,398233,0,12,1.0,12.0,6.524077612854786
carrier,object,398233,0,38,,,
carrier_name,object,398233,0,51,,,
airport,object,398233,0,425,,,
airport_name,object,398233,0,449,,,
arr_flights,float64,397576,657,7641,1.0,21977.0,361.6635360283317
arr_del15,float64,397283,950,2407,0.0,6377.0,69.59394688421101
carrier_ct,float64,397576,657,20129,0.0,1886.58,20.54033135802966
weather_ct,float64,397576,657,5996,0.0,717.94,2.5082310048896312
nas_ct,float64,397576,657,22659,-0.01,4091.27,22.20952874418979
security_ct,float64,397576,657,1219,0.0,80.56,0.17263011348773566
late_aircraft_ct,float64,397576,657,24367,0.0,2588.13,24.11197172364529
arr_cancelled,float64,397576,657,696,0.0,4951.0,6.78932329919311
arr_diverted,float64,397576,657,142,0.0,256.0,0.8341675553856369
arr_delay,float64,397576,657,31375,0.0,648300.0,4167.479402680242
carrier_delay,float64,397576,657,16175,0.0,321792.0,1309.3171770931847
weather_delay,float64,397576,657,6049,0.0,64550.0,223.3310637463026
nas_delay,float64,397576,657,15221,-19.0,238440.0,1026.01188200495
security_delay,float64,397576,657,715,0.0,3760.0,7.144337183330986
late_aircraft_delay,float64,397576,657,19650,0.0,279153.0,1601.6676610258164
